Year,Month,Day,date,TSU,EQ,Name,Location,Country,Type,Status,intensity,type
1996,9,30,9/30/1996,,,Grimsvotn,Iceland-NE,Iceland,Caldera,Historical,3,v
1996,12,3,12/3/1996,,,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano,Historical,3,v
1997,6,25,6/25/1997,,,Soufriere Hills,W Indies,Montserrat,Stratovolcano,Historical,3,v
1997,8,1,8/1/1997,,,Soufriere Hills,W Indies,Montserrat,Stratovolcano,Historical,3,v
1997,9,2,9/2/1997,,,Semeru,Java,Indonesia,Stratovolcano,Historical,3,v
1999,1,20,1/20/1999,TSU,,Soufriere Hills,W Indies,Montserrat,Stratovolcano,Historical,3,v
1999,8,15,8/15/1999,,,Shiveluch,Kamchatka,Russia,Stratovolcano,Historical,4,v
1999,10,5,10/5/1999,,,Guagua Pichincha,Ecuador,Ecuador,Stratovolcano,Historical,3,v
1999,10,16,10/16/1999,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,3,v
2000,7,27,7/27/2000,,,Semeru,Java,Indonesia,Stratovolcano,Historical,3,v
2000,8,23,8/23/2000,,,Arenal,Costa Rica,Costa Rica,Stratovolcano,Historical,3,v
2001,5,14,5/14/2001,,,Etna,Italy,Italy,Stratovolcano,Historical,3,v
2002,1,3,1/3/2002,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano,Historical,3,v
2002,8,28,8/28/2002,,EQ,Etna,Italy,Italy,Stratovolcano,Historical,3,v
2002,11,3,11/3/2002,,,Reventador,Ecuador,Ecuador,Stratovolcano,Historical,4,v
2002,,,1/1/2002,,,Semeru,Java,Indonesia,Stratovolcano,Historical,3,v
2003,7,12,7/12/2003,TSU,,Soufriere Hills,W Indies,Montserrat,Stratovolcano,Historical,3,v
2004,10,24,10/24/2004,,,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano,Historical,4,v
2005,1,27,1/27/2005,,,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano,Historical,4,v
2005,10,1,10/1/2005,,,Santa Ana,El Salvador,El Salvador,Stratovolcano,Historical,3,v
2006,7,18,7/18/2006,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,3,v
2006,8,17,8/17/2006,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,3,v
2007,3,,3/1/2007,,,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano,Historical,4,v
2008,8,8,8/8/2008,TSU,,Kasatochi,Aleutian Is,United States,Stratovolcano,Historical,3,v
2008,8,22,8/22/2008,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,3,v
2010,1,,1/1/2010,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,3,v
2010,8,6,8/6/2010,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano,Historical,3,v
2010,11,,11/1/2010,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,3,v
2011,4,,4/1/2011,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,4,v
2011,6,4,6/4/2011,,,Puyehue,Chile-C,Chile,Stratovolcano,Holocene,4,v
2011,6,22,6/22/2011,,,Nabro,Africa-NE,Eritrea,Stratovolcano,Holocene,3,v
2011,12,27,12/27/2011,,,Gamalama,Halmahera-Indonesia,Indonesia,Stratovolcano,Historical,3,v
2013,8,10,8/10/2013,,,Paluweh,Lesser Sunda Is,Indonesia,Stratovolcano,Historical,3,v
2014,9,27,9/27/2014,,,On-take,Honshu-Japan,Japan,Complex volcano,Historical,3,v
2018,3,30,3/30/2018,,,Aoba,Vanuatu-SW Pacific,Vanuatu,Shield volcano,Historical,3,v
2018,8,25,8/25/2018,,,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano,Historical,4,v
2019,1,7,1/7/2019,,,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano,Historical,4,v
2019,6,28,6/28/2019,,,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano,Historical,4,v
