Year,Month,Day,date,TSU,EQ,Name,Location,Country,Type,Status,intensity,type
1892,6,7,6/7/1892,TSU,,Awu,Sangihe Is-Indonesia,Indonesia,Stratovolcano,Historical,3,v
1893,1,7,1/7/1893,,,Calbuco,Chile-S,Chile,Stratovolcano,Historical,4,v
1894,10,,10/1/1894,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,Pyroclastic shield,Historical,3,v
1897,5,23,5/23/1897,,,Mayon,Luzon-Philippines,Philippines,Stratovolcano,Historical,3,v
1899,11,13,11/13/1899,,,Dona Juana,Colombia,Colombia,Stratovolcano,Historical,4,v
1901,5,22,5/22/1901,,,Kelut,Java,Indonesia,Stratovolcano,Historical,3,v
1902,5,7,5/7/1902,TSU,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,Stratovolcano,Historical,4,v
1902,5,8,5/8/1902,TSU,,Pelee,W Indies,Martinique,Stratovolcano,Historical,4,v
1902,8,7,8/7/1902,,,Tori-shima,Izu Is-Japan,Japan,Stratovolcano,Historical,3,v
1902,8,30,8/30/1902,TSU,,Pelee,W Indies,Martinique,Stratovolcano,Historical,4,v
1902,10,25,10/25/1902,,,Santa Maria,Guatemala,Guatemala,Stratovolcano,Historical,6,v
1906,4,4,4/4/1906,TSU,,Vesuvius,Italy,Italy,Complex volcano,Historical,3,v
1911,1,30,1/30/1911,TSU,EQ,Taal,Luzon-Philippines,Philippines,Stratovolcano,Historical,3,v
1911,11,8,11/8/1911,,,Semeru,Java,Indonesia,Stratovolcano,Historical,3,v
1912,9,6,9/6/1912,,,Novarupta,Alaska Peninsula,United States,Caldera,Historical,6,v
1912,12,3,12/3/1912,,,Nyamuragira,Africa-C,"Congo, DRC",Shield volcano,Historical,3,v
1913,1,20,1/20/1913,,,Colima,Mexico,Mexico,Stratovolcano,Historical,4,v
1913,12,6,12/6/1913,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,Pyroclastic shield,Historical,3,v
1914,1,12,1/12/1914,TSU,EQ,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano,Historical,4,v
1914,1,18,1/18/1914,,,Pago,New Britain-SW Pac,Papua New Guinea,Caldera,Historical,3,v
1916,3,3,3/3/1916,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,4,v
1916,7,3,7/3/1916,TSU,,Stromboli,Italy,Italy,Stratovolcano,Historical,3,v
1917,1,1,1/1/1917,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,Stratovolcano,Historical,3,v
1917,4,,4/1/1917,,,Calbuco,Chile-S,Chile,Stratovolcano,Historical,3,v
1917,6,7,6/7/1917,,EQ,San Salvador,El Salvador,El Salvador,Stratovolcano,Historical,3,v
1918,7,18,7/18/1918,TSU,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,Submarine volcano,Historical,3,v
1918,10,12,10/12/1918,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,4,v
1919,5,19,5/19/1919,,,Kelut,Java,Indonesia,Stratovolcano,Historical,4,v
1919,5,22,5/22/1919,TSU,,Stromboli,Italy,Italy,Stratovolcano,Historical,3,v
1920,7,25,7/25/1920,,,Merapi,Java,Indonesia,Stratovolcano,Historical,3,v
1920,10,29,10/29/1920,,,Izalco,El Salvador,El Salvador,Stratovolcano,Historical,3,v
1926,5,24,5/24/1926,,,Tokachi,Hokkaido-Japan,Japan,Stratovolcano,Historical,3,v
1928,1,,1/1/1928,,,Mayon,Luzon-Philippines,Philippines,Stratovolcano,Historical,3,v
1928,8,4,8/4/1928,TSU,,Paluweh,Lesser Sunda Is,Indonesia,Stratovolcano,Historical,3,v
1929,1,6,1/6/1929,,,Calbuco,Chile-S,Chile,Stratovolcano,Historical,3,v
1929,6,17,6/17/1929,,,Komaga-take,Hokkaido-Japan,Japan,Stratovolcano,Historical,4,v
1929,11,2,11/2/1929,,,Santa Maria,Guatemala,Guatemala,Stratovolcano,Historical,3,v
1930,8,20,8/20/1930,,,Asama,Honshu-Japan,Japan,Complex volcano,Historical,3,v
1930,9,11,9/11/1930,TSU,,Stromboli,Italy,Italy,Stratovolcano,Historical,3,v
1930,12,18,12/18/1930,,,Merapi,Java,Indonesia,Stratovolcano,Historical,3,v
1931,8,20,8/20/1931,,,Asama,Honshu-Japan,Japan,Complex volcano,Historical,3,v
1932,1,21,1/21/1932,,,Fuego,Guatemala,Guatemala,Stratovolcano,Historical,4,v
1932,10,1,10/1/1932,,,Kusatsu-Shirane,Honshu-Japan,Japan,Stratovolcano,Historical,3,v
1933,1,8,1/8/1933,TSU,EQ,Kharimkotan,Kuril Is,Russia,Stratovolcano,Historical,3,v
1933,12,24,12/24/1933,,,Kuchinoerabu-jima,Ryukyu Is,Japan,Stratovolcano,Historical,4,v
1936,2,,2/1/1936,,,Asama,Honshu-Japan,Japan,Complex volcano,Historical,3,v
1937,5,29,5/29/1937,TSU,EQ,Rabaul,New Britain-SW Pac,Papua New Guinea,Pyroclastic shield,Historical,4,v
1943,2,20,2/20/1943,,,Michoacan-Guanajuato,Mexico,Mexico,Cinder cone,Historical,4,v
1943,4,13,4/13/1943,,,"Azul, Cerro",Galapagos,Ecuador,Shield volcano,Historical,3,v
1944,6,10,6/10/1944,,,Cleveland,Aleutian Is,United States,Stratovolcano,Historical,3,v
1946,11,13,11/13/1946,TSU,,Sarychev Peak,Kuril Is,Russia,Stratovolcano,Historical,4,v
1947,11,2,11/2/1947,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,4,v
1949,1,1,1/1/1949,,,Villarrica,Chile-C,Chile,Stratovolcano,Historical,3,v
1949,6,,6/1/1949,,,Camiguin,Mindanao-Philippines,Philippines,Stratovolcano,Historical,3,v
1950,9,15,9/15/1950,,,Camiguin,Mindanao-Philippines,Philippines,Stratovolcano,Historical,3,v
1951,1,21,1/21/1951,,,Lamington,New Guinea,Papua New Guinea,Stratovolcano,Historical,4,v
1951,8,31,8/31/1951,,,Kelut,Java,Indonesia,Stratovolcano,Historical,3,v
1951,12,4,12/4/1951,,,Camiguin,Mindanao-Philippines,Philippines,Stratovolcano,Historical,3,v
1953,3,23,3/23/1953,,,Merapi,Java,Indonesia,Stratovolcano,Historical,3,v
1955,7,26,7/26/1955,,,Carran-Los Venados,Chile-C,Chile,Pyroclastic cone,Historical,4,v
1955,10,13,10/13/1955,,,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano,Historical,3,v
1956,3,30,3/30/1956,TSU,,Bezymianny,Kamchatka,Russia,Stratovolcano,Historical,5,v
1960,5,25,5/25/1960,TSU,EQ,Puyehue,Chile-C,Chile,Stratovolcano,Holocene,3,v
1961,1,25,1/25/1961,,,Calbuco,Chile-S,Chile,Stratovolcano,Historical,3,v
1961,5,8,5/8/1961,,,Merapi,Java,Indonesia,Stratovolcano,Historical,3,v
1962,6,29,6/29/1962,,,Tokachi,Hokkaido-Japan,Japan,Stratovolcano,Historical,3,v
1963,3,17,3/17/1963,,,Irazu,Costa Rica,Costa Rica,Stratovolcano,Historical,3,v
1963,3,18,3/18/1963,TSU,,Agung,Lesser Sunda Is,Indonesia,Stratovolcano,Historical,5,v
1963,5,16,5/16/1963,,EQ,Agung,Lesser Sunda Is,Indonesia,Stratovolcano,Historical,3,v
1963,9,28,9/28/1963,,,Fuego,Guatemala,Guatemala,Stratovolcano,Historical,3,v
1963,12,10,12/10/1963,,,Irazu,Costa Rica,Costa Rica,Stratovolcano,Historical,3,v
1965,9,28,9/28/1965,TSU,,Taal,Luzon-Philippines,Philippines,Stratovolcano,Historical,4,v
1966,1,13,1/13/1966,TSU,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,Stratovolcano,Historical,3,v
1966,4,26,4/26/1966,,,Kelut,Java,Indonesia,Stratovolcano,Historical,4,v
1966,8,12,8/12/1966,,,Awu,Sangihe Is-Indonesia,Indonesia,Stratovolcano,Historical,4,v
1966,8,14,8/14/1966,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,Stratovolcano,Historical,4,v
