I_D,YEAR,MONTH,DAY,date,HOUR,MINUTE,SECOND,FOCAL_DEPTH,intensity,COUNTRY,STATE,LOCATION_NAME,,type
306,1000,1,,1/1/1000,,,,,,SLOVENIA,,BALKANS NW:  SLOVENIA:  LJUBLJANA,,e
307,1000,4,30,4/30/1000,,,,,,CHINA,,CHINA:  SHAANXI PROVINCE,,e
309,1001,1,,1/1/1001,,,,,,CHINA,,CHINA:  SHAANXI PROVINCE:  TSIN,,e
308,1001,,,1/1/1001,,,    ,,6,ITALY,,ITALY:  VERONA,,e
312,1003,,,1/1/1003,,,    ,,,FRANCE,,FRANCE:  BURGUNDY,,e
311,1003,,,1/1/1003,,,,20,4.2,TURKEY,,"TURKEY:  KARS, DIGOR, ANI (ARMENIA)",,e
316,1007,9,17,9/17/1007,,,,,,IRAQ,,"IRAN-IRAQ:  DINAVAR,BAGHDAD, TIGRIS-KTESIPHON",,e
318,1008,4,11,4/11/1008,,,,,6.5,IRAN,,IRAN-IRAQ:  DAINAWAR,,e
319,1010,3,9,3/9/1010,,,    ,,,TURKEY,,TURKEY,,e
321,1013,,,1/1/1013,,,,,,ICELAND,,ICELAND:  SUDURLAND,,e
322,1021,5,12,5/12/1021,10,,    ,,,SWITZERLAND,,SWITZERLAND,,e
7905,1022,4,,4/1/1022,,,,,6.5,CHINA,,CHINA:  SHAANXI PROVINCE:  DATONG,,e
5902,1026,6,16,6/16/1026,,,,,7.5,JAPAN,,"JAPAN:  OFF MASUDA, SHIMANE PREFECTURE",,e
8156,1033,12,5,12/5/1033,,,,,,SYRIA,,"ISRAEL:  RAMALA, GAZA, NABLUS; EGYPT",,e
325,1036,7,,7/1/1036,,,,,5.7,NORTH KOREA,,NORTH KOREA:  KAESONG,,e
326,1037,12,,12/1/1037,,,,,,CHINA,,CHINA:  JIANGSU PROVINCE:  TAICHOU,,e
327,1038,1,9,1/9/1038,,,,,7.3,CHINA,,"CHINA:  SHAANXI PROVINCE:  DINGXIANG, XINXIAN",,e
8237,1039,2,2,2/2/1039,,,,,6.8,TURKEY,,TURKEY:  ISTANBUL (CONSTANTINOPLE),,e
330,1040,,,1/1/1040,,,,,,TUNISIA,,TUNISIA:  AL-KAIRAWAN,,e
333,1042,8,21,8/21/1042,,,,,,IRAN,,IRAN:  TABRIZ,,e
335,1042,11,4,11/4/1042,13,30,,15,7.6,IRAN,,IRAN:  TABRIZ,,e
336,1045,,,1/1/1045,,,    ,,,TURKEY,,TURKEY,,e
337,1046,,,1/1/1046,,,    ,15,5.5,TURKEY,,TURKEY:  ANI (ARMENIA),,e
338,1048,,,1/1/1048,,,,,,UK,,UNITED KINGDOM:  BRITIAN,,e
341,1052,3,,3/1/1052,,,,,,IRAN,,"IRAN:  KHORASAN:  BAIHAQ, NISHAPUR",,e
339,1052,,,1/1/1052,,,,,,IRAN,,IRAN:  KHUZESTAN:  ARRJAN,,e
344,1057,,,1/1/1057,,,,,6.8,CHINA,,CHINA:  BEIJING,,e
348,1058,12,8,12/8/1058,15,,,,,IRAQ,,"IRAQ:  MOSUL, KIRKUK, HAMADAN, TIKRIT, WASIT, AMAH",,e
351,1063,7,,7/1/1063,,,    ,,,LEBANON,,"LEBANON:  TARABULUS (TRIPOLIS), TYRE; TURKEY; IRAQ",,e
352,1063,9,23,9/23/1063,,,    ,,,TURKEY,,"TURKEY:  ISTANBUL,TRAKYA, ERDEK, IZNIK",,e
353,1064,,,1/1/1064,,,    ,,,TURKEY,,"TURKEY:  IZNIK,NICAEA",,e
354,1065,1,21,1/21/1065,,,    ,,,ITALY,,"ITALY:  SICILY:  CATANIA,MESSINA,MILAZZO,PALE",,e
355,1065,12,3,12/3/1065,,,    ,,,IRAN,,"IRAN:  KHORASAN,JABAL",,e
356,1066,3,31,3/31/1066,,,    ,,,IRAN,,IRAN:  KHORASAN,,e
359,1067,11,,11/1/1067,,,,,6.8,CHINA,,CHINA:  GUANGDONG PROVINCE,,e
361,1068,3,18,3/18/1068,,,,,,ISRAEL,,"ISRAEL:  RAMLA,PALESTINE,JERUSALEM,TABUK,KUFA,HALLA",,e
362,1068,8,14,8/14/1068,,,,,6,CHINA,,"CHINA:  HEBEI PROVINCE:  CANGZHOU, HEJIAN",,e
364,1070,2,25,2/25/1070,,,    ,,,EGYPT,,EGYPT:  AL-QAHIRAH (CAIRO); ISRAEL:  JERUSALEM,,e
365,1072,,,1/1/1072,,,,,,YEMEN,,"YEMEN:  SANA, ZABID; SAUDI ARABIA:  MECCA",,e
366,1076,,,1/1/1076,,,    ,,,SYRIA,,SYRIA:  (MANY COUNTRIES),,e
367,1082,12,6,12/6/1082,,,    ,,,TURKEY,,TURKEY,,e
369,1085,4,29,4/29/1085,,,    ,,,TURKEY,,TURKEY:  ERZURUM,,e
368,1085,4,29,4/29/1085,,,    ,,,IRAN,,"IRAN:  ARAJAN,KHUZESTAN",,e
371,1086,4,18,4/18/1086,,,    ,,,IRAQ,,"IRAQ:  MESOPOTAMIA,JAZIRAH,BADHARAYA; SYRIA",,e
370,1086,,,1/1/1086,,,    ,,,ITALY,,ITALY:  SIRACUSA (SYRACUSE),,e
372,1088,4,22,4/22/1088,,,    ,10,5.3,GEORGIA,,GEORGIA:  TMOGVI,,e
5904,1088,6,10,6/10/1088,,,,,7,JAPAN,,JAPAN:  SANRIKU,,e
373,1089,,,1/1/1089,,,    ,,,SYRIA,,SYRIA:  TUDMUR (PALMYRA),,e
374,1091,,,1/1/1091,,,    ,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH); SYRIA,,e
375,1096,12,17,12/17/1096,,,,,8.4,JAPAN,,JAPAN:  ENSHUNADA,,e
7381,1099,2,22,2/22/1099,,,,,8.4,JAPAN,,JAPAN:  NANKAIDO,,e
376,1101,,,1/1/1101,,,,10,6.5,IRAN,,IRAN:  KHORASAN,,e
377,1102,1,15,1/15/1102,,,,,,CHINA,,"CHINA:  SHANXI PROVINCE:  CHIN,HSI TAI IN TAI,YUAN",,e
379,1102,2,28,2/28/1102,,,    ,15,6.1,AFGHANISTAN,,AFGHANISTAN:  GERAT,,e
380,1106,,,1/1/1106,,,,,,TURKEY,,"TURKEY:  ANTAKYA (ANTIOCH), AL-DAINOOR",,e
381,1109,,,1/1/1109,,,,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),,e
382,1111,,,1/1/1111,,,    ,,,TURKEY,,TURKEY:  VAN,,e
385,1114,3,12,3/12/1114,,,,,,TURKEY,,"TURKEY:  SANAOSATA,GHISN-MANSUR,KNESUN,MARAS",,e
383,1114,,,1/1/1114,,,,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH); SYRIA:  HALAB (ALEPPO),,e
9985,1114,,,1/1/1114,,,,,,ITALY,,ITALY:  VITERBO,,e
387,1115,,,1/1/1115,,,    ,,,IRAN,,"IRAN:  HENGAM ISLAND,KISH ISLAND",,e
388,1115,,,1/1/1115,,,,,,TURKEY,,TURKEY:  ANTIOCH; SYRIA: ALEPPO; ISRAEL: PALESTINE,,e
389,1115,,,1/1/1115,,,,,,TURKEY,,"TURKEY:  HARRAN,KUFA,SAMSAT,EL-SUN",,e
390,1117,1,3,1/3/1117,21,30,    ,,,ITALY,,ITALY:  N,,e
391,1117,3,1,3/1/1117,,,    ,,,ITALY,,ITALY:  VENEZIA (VENICE) TO EMILIA,,e
7261,1118,,,1/1/1118,,,,,,UK,,UNITED KINGDOM:  IRELAND:  SLIABH-ELPA,,e
392,1119,12,10,12/10/1119,,,    ,,6.5,IRAN,,IRAN:  QAZVIN,,e
7906,1125,8,30,8/30/1125,,,,,7,CHINA,,CHINA:  GANSU PROVINCE,,e
393,1125,10,11,10/11/1125,,,    ,,,ITALY,,ITALY:  BENEVENTO,,e
394,1130,2,12,2/12/1130,,,    ,,,IRAQ,,"IRAQ:  AL-MAWSIL (MOSUL),JABAL,JAZIRAH",,e
395,1130,2,28,2/28/1130,,,    ,,,IRAQ,,IRAQ:  BAGHDAD,,e
398,1137,9,19,9/19/1137,,,,,,IRAQ,,"IRAQ-SYRIA:  MESOPOTAMIA, MOSUL",,e
397,1137,,,1/1/1137,,,    ,,,ITALY,,ITALY:  SICILY:  CATANIA,,e
402,1139,,,1/1/1139,,,,,,AZERBAIJAN,,AZERBAIJAN:  GYZNDZHA,,e
405,1143,4,,4/1/1143,,,,,6,CHINA,,CHINA:  NINGXIA,,e
406,1149,5,11,5/11/1149,,,    ,,,IRAQ,,IRAQ:  BAGHDAD,,e
408,1151,,,1/1/1151,,,    ,,,PORTUGAL,,PORTUGAL:  LISBON,,e
407,1151,,,1/1/1151,,,    ,,6.2,SYRIA,,SYRIA:  BUSRA,,e
409,1153,,,1/1/1153,,,    ,,,GREECE,,GREECE-ALBANIA,,e
412,1155,1,18,1/18/1155,,,,,,ITALY,,ITALY:  BORGOGNE,,e
411,1155,,,1/1/1155,,,,,,SYRIA,,SYRIA:  DIMASHQ; TURKEY:ANTIOCH; LEBANON:TARABULUS,,e
413,1156,10,26,10/26/1156,,,,,,SYRIA,,"SYRIA:  HALAB (ALEPPO), MALATICH",,e
415,1157,2,13,2/13/1157,,,,,,SYRIA,,SYRIA:  HALAB (ALEPPO),,e
416,1158,,,1/1/1158,,,,,,SYRIA,,"SYRIA:  MALATYA,DIMASHQ; LEBANON; TURKEY:  ANTAKYA",,e
417,1160,,,1/1/1160,,,    ,,6.1,ISRAEL,,ISRAEL,,e
418,1164,,,1/1/1164,,,    ,,,ICELAND,,"ICELAND:  SOUTHLAND,GRIMSNES",,e
421,1169,2,4,2/4/1169,,,,,,ITALY,,ITALY:  SICILY:  SIRACUSA (SYRACUSE); CALABRIA,,e
419,1169,,,1/1/1169,,,,,,SYRIA,,"SYRIA:  HALAB (ALEPPO),DIMASHQ (DAMASCUS)",,e
422,1171,,,1/1/1171,,,    ,,,LEBANON,,LEBANON:  TARABULUS (TRIPOLI),,e
9807,1172,,,1/1/1172,,,,,,ITALY,,ITALY:  SICILY,,e
424,1175,7,22,7/22/1175,,,    ,,,IRAN,,"IRAN:  REY (RAY),QAZVIN",,e
423,1175,,,1/1/1175,,,    ,15,7.1,TURKMENISTAN,,TURKMENISTAN,,e
425,1176,,,1/1/1176,,,    ,,,IRAN,,IRAN:  REY-QAZVIN,,e
426,1179,,,1/1/1179,,,    ,,,TURKEY,,TURKEY:  ANTIOCH; SYRIA:DAMASCUS; LEBANON:TRIPOLIS,,e
427,1180,,,1/1/1180,,,    ,,,ITALY,,ITALY:  ARIANO,,e
429,1182,,,1/1/1182,,,    ,,,ICELAND,,ICELAND:  SOUTHLAND,,e
428,1182,,,1/1/1182,,,    ,,6.7,SYRIA,,SYRIA:  BUSRA; ISRAEL:  PALESTINE,,e
430,1183,,,1/1/1183,,,    ,,,SYRIA,,SYRIA:  DIMASHQ; TURKEY: ANTAKYA; LEBANON: TRIPOLI,,e
432,1184,5,24,5/24/1184,,,    ,,,ITALY,,ITALY:  COSENZA,,e
435,1201,4,25,4/25/1201,14,,,,,SLOVENIA,,BALKANS NW:  SLOVENIA:  STYRIA,,e
440,1202,5,20,5/20/1202,,,,,7.6,SYRIA,,SYRIA:  SOUTHWESTERN,,e
442,1202,7,25,7/25/1202,,,,,,CHINA,,CHINA:  FUJIAN PROVINCE:  KIEN NAN CHAN,,e
444,1208,7,16,7/16/1208,,,,,6.5,IRAN,,"IRAN:  NEYSHABUR (NEISHABUR),FIRRIM",,e
445,1208,,,1/1/1208,,,,10,6.1,TURKMENISTAN,,TURKMENISTAN:  GURGANDZHE,,e
448,1209,12,4,12/4/1209,,,,,6.3,CHINA,,CHINA:  SHAANXI PROVINCE:  FUSHAN,,e
447,1209,,,1/1/1209,,,    ,10,7.6,IRAN,,IRAN:  NISHAPUR,,e
450,1211,6,15,6/15/1211,,,    ,,,EGYPT,,EGYPT:  AL-QAHIRAH (CAIRO),,e
451,1219,6,2,6/2/1219,,,,,6.5,CHINA,,CHINA:  NINGXIA,,e
5936,1222,5,,5/1/1222,,,,,,CYPRUS,,CYPRUS,,e
452,1222,12,25,12/25/1222,11,,,,,ITALY,,ITALY:  BRESCIA,,e
454,1223,,,1/1/1223,,,    ,,,ITALY,,ITALY:  SIPONTO,,e
8091,1227,7,,7/1/1227,,,,,5.5,CHINA,,CHINA:  NINGXIA,,e
455,1227,,,1/1/1227,,,,,,FRANCE,,"FRANCE:  LAMBESC,  HIGH ALPS,PROVENCE",,e
9981,1231,3,11,3/11/1231,,,,,6.9,TURKEY,,TURKEY: ISTANBUL (CONSTANTINOPLE),,e
457,1231,6,1,6/1/1231,,,,,,ITALY,,"ITALY:  S. GERMANO, MONTECASSINO",,e
458,1233,,,1/1/1233,,,    ,,5.6,ITALY,,ITALY:  VENEZIA (VENICE),,e
460,1237,3,,3/1/1237,,,    ,,,ALBANIA,,ALBANIA,,e
461,1237,8,24,8/24/1237,,,    ,,,IRAN,,IRAN:  GONABAD (DASHT-E-BAYAZ-GONABAD),,e
459,1237,,,1/1/1237,,,    ,,,ALBANIA,,ALBANIA:  DURRES,,e
5937,1241,5,22,5/22/1241,,,,,7,JAPAN,,JAPAN:  KAMAKURA,,e
462,1248,,,1/1/1248,,,    ,,,ITALY,,ITALY:  SABAUDIA,,e
9947,1255,6,7,6/7/1255,,,,,,NEPAL,,NEPAL:  KATHMANDU,,e
5938,1257,10,9,10/9/1257,,,,,7.5,JAPAN,,"SANRIKU, JAPAN",,e
5939,1257,10,9,10/9/1257,,,,,7,JAPAN,,JAPAN:  SAGAMI BAY,,e
463,1259,,,1/1/1259,,,    ,,,ITALY,,ITALY:  TRAPANI,,e
464,1267,,,1/1/1267,,,    ,10,5.8,IRAN,,IRAN:  NEYSHABUR (NEISHABUR),,e
465,1268,,,1/1/1268,,,,,,TURKEY,,TURKEY:  ERZINCAN,,e
9952,1269,,,1/1/1269,,,,,,TURKEY,,"TURKEY:  CICILIA, CEYHAN (SEYHAN)",,e
470,1272,7,29,7/29/1272,,,    ,,,IRAN,,IRAN:  TABRIZ,,e
7798,1273,9,,9/1/1273,,,,,6.5,ALBANIA,,ALBANIA:  DURRES,,e
471,1273,,,1/1/1273,,,    ,,,ITALY,,ITALY:  POTENZA,,e
472,1275,4,14,4/14/1275,,,    ,28,6.7,GEORGIA,,GEORGIA,,e
473,1276,,,1/1/1276,,,,,,MOROCCO,,MOROCCO:  EL ARAISH (LARACHE),,e
474,1277,7,20,7/20/1277,,,    ,,5.1,ITALY,,ITALY:  VERONA,,e
477,1279,4,30,4/30/1279,,,,,,ITALY,,"ITALY:  FORLI, ROMAGNA, BOLOGNA",,e
478,1280,5,3,5/3/1280,,,    ,,,IRAN,,IRAN:  NEISHABUR-SHADYAK,,e
479,1280,6,6,6/6/1280,,,    ,,,CROATIA,,BALKANS NW:  CROATIA,,e
480,1280,11,3,11/3/1280,,,    ,,,CROATIA,,BALKANS NW:  CROATIA,,e
481,1281,,,1/1/1281,,,    ,10,5.8,IRAN,,IRAN:  SHADIYAKH,,e
482,1283,,,1/1/1283,,,    ,14,6.3,GEORGIA,,"GEORGIA:  SAMTSKHE, DZHAVAKHET",,e
483,1284,,,1/1/1284,,,    ,,,SYRIA,,SYRIA:  DIMASHQ (DAMASCUS),,e
484,1286,,,1/1/1286,,,    ,,,FRANCE,,FRANCE:  VANNES,,e
485,1289,8,,8/1/1289,,,,,,CHINA,,CHINA:  BEIJING,,e
486,1289,11,25,11/25/1289,,,    ,,,FRANCE,,FRANCE:  STRASBOURG,,e
488,1290,9,27,9/27/1290,,,,,6.8,CHINA,,CHINA:  NEI MONGOL:  NINGCHENG,,e
490,1291,1,4,1/4/1291,,,    ,,,IRAN,,IRAN:  SHIRAZ,,e
491,1291,8,25,8/25/1291,,,,,6.5,CHINA,,CHINA:  SHAANXI PROVINCE,,e
492,1293,1,11,1/11/1293,,,    ,,,ISRAEL,,"ISRAEL:  RAMLA,GAZA; JORDAN:  AL-KARAK",,e
494,1293,5,27,5/27/1293,,,,,7.1,JAPAN,,JAPAN:  KAMAKURA,,e
495,1295,4,5,4/5/1295,,,    ,,,SWITZERLAND,,SWITZERLAND,,e
496,1295,9,4,9/4/1295,,,    ,,,SWITZERLAND,,SWITZERLAND,,e
497,1298,11,30,11/30/1298,,,    ,,,ITALY,,ITALY:  RIETI,,e
500,1300,9,30,9/30/1300,,,    ,,,CROATIA,,BALKANS NW:  CROATIA,,e
498,1300,,,1/1/1300,,,    ,,6.5,IRAN,,"IRAN:  NEYSHABUR (NEISHABUR),FIRRIM",,e
499,1300,,,1/1/1300,,,    ,,,ITALY,,ITALY:  RIETI,,e
501,1301,,,1/1/1301,,,    ,,,IRAN,,IRAN:  FIRRIM,,e
5940,1303,8,8,8/8/1303,,,,,8,GREECE,,GREECE:  CRETE,,e
503,1303,9,17,9/17/1303,,,,,8,CHINA,,CHINA:  SHANXI PROVINCE,,e
7979,1304,11,7,11/7/1304,,,,,6.7,IRAN,,IRAN: TABRIZ,,e
506,1305,5,3,5/3/1305,,,,,6.5,CHINA,,"CHINA:  SHANXI PROVINCE:  HUAIREN, DATONG",,e
509,1306,9,12,9/12/1306,,,,,6.5,CHINA,,CHINA:  NINGXIA:  KAICHENG,,e
507,1306,,,1/1/1306,,,    ,,,IRAN,,IRAN:  QESHM ISLAND,,e
508,1306,,,1/1/1306,,,,,,GREECE,,GREECE:  CRETE,,e
513,1310,7,,7/1/1310,,,,,,CHINA,,CHINA:  HUBEI PROVINCE:  KIN MEN,,e
511,1310,,,1/1/1310,,,,,5.5,IRAQ,,"IRAQ:  SHAHRIZUR, SULAIMANIYA, BAGHDAD",,e
514,1314,10,5,10/5/1314,,,,,6,CHINA,,CHINA:  HEBEI:  SHEXIAN,,e
516,1319,,,1/1/1319,,,,,,IRAN,,"IRAN:  ST THADDEUS; ARMENIA:  ARARAT, SINI, ANI",,e
517,1319,,,1/1/1319,,,,,,ITALY,,ITALY:  MONTECASSINO,,e
518,1320,12,9,12/9/1320,,,    ,,,PORTUGAL,,PORTUGAL:  CABO SAN VICENTE:  SW,,e
519,1323,,,1/1/1323,,,    ,,,CROATIA,,BALKANS NW:  CROATIA,,e
7908,1327,9,,9/1/1327,,,,,4.8,CHINA,,CHINA:  SICHUAN PROVINCE,,e
520,1328,12,1,12/1/1328,,,,,,ITALY,,ITALY:  NORCIA,,e
9973,1329,6,28,6/28/1329,,,,,,ITALY,,ITALY:  SICILY,,e
5941,1331,8,15,8/15/1331,,,,,7,JAPAN,,"SAGAMI, JAPAN",,e
6016,1332,2,12,2/12/1332,,,    ,,,TURKEY,,MARMARA SEA,,e
522,1336,5,9,5/9/1336,,,    ,,,IRAN,,IRAN:  QESHM,,e
524,1336,10,21,10/21/1336,1,30,,,7.6,IRAN,,IRAN:  KHAF,,e
7909,1337,9,8,9/8/1337,,,,,6.5,CHINA,,CHINA:  HEBEI:  HUAILAI,,e
525,1339,,,1/1/1339,,,    ,,,LEBANON,,LEBANON:  TARABULUS (TRIPOLIS),,e
526,1340,7,23,7/23/1340,,,,,,CHINA,,CHINA:  GANSU PROVINCE:  TAO YUEN CHAN,,e
9986,1341,1,1,1/1/1341,,,,,6,UKRAINE,,UKRAINE:  CRIMEA,,e
5942,1341,10,31,10/31/1341,,,,,7,JAPAN,,JAPAN:  JUSANKO,,e
528,1343,6,30,6/30/1343,,,    ,,,CROATIA,,BALKANS NW:  CROATIA,,e
529,1343,7,3,7/3/1343,,,,,,CHINA,,CHINA:  HUNAN PROVINCE:  NAN PI TSIN NAN,,e
5943,1343,10,18,10/18/1343,,,,,7.5,TURKEY,,TURKEY:  ISTANBUL (CONSTANTINOPLE),,e
527,1344,1,3,1/3/1344,,,,,,SYRIA,,"SYRIA:  MEMBIJ, ALEPPO, DIMASHQ  (DAMASCUS)",,e
531,1344,5,15,5/15/1344,,,    ,,,IRAN,,IRAN:  ESFAHAN,,e
530,1344,,,1/1/1344,,,,,,PORTUGAL,,PORTUGAL:  LISBON,,e
532,1345,9,12,9/12/1345,,,    ,,,ITALY,,ITALY:  FIRENZE (FLORENCE),,e
533,1346,11,24,11/24/1346,23,,    ,,,SWITZERLAND,,SWITZERLAND,,e
534,1347,5,,5/1/1347,,,,,,CHINA,,"CHINA:  SHANDONG PROVINCE:  LINTOU, CHINGCHOU",,e
536,1348,1,25,1/25/1348,15,,,,,AUSTRIA,,AUSTRIA:VILLACH; ITALY:VENETO; SLOVENIA:CELOVAC,,e
540,1349,9,9,9/9/1349,,,,,,ITALY,,"ITALY:  L'AQUILA, ABRUZZI, SANNIO",,e
542,1350,,,1/1/1350,,,    ,20,6.5,GEORGIA,,"GEORGIA:  CHEGEM GORGE, CHREBALO",,e
7910,1351,5,14,5/14/1351,,,,,5.5,CHINA,,CHINA:  SHANXI PROVINCE:  YUSHE,,e
7911,1352,4,18,4/18/1352,,,,,7,CHINA,,CHINA:  GANSU PROVINCE,,e
543,1352,12,25,12/25/1352,,,,,,ITALY,,ITALY:  SANSEPOLCRO,,e
545,1353,,,1/1/1353,,,    ,,,TURKEY,,TURKEY,,e
546,1354,,,1/1/1354,,,    ,,,SYRIA,,"SYRIA:  HAMAH (HAMA),HIMS (HUMS),BALABAKK",,e
547,1356,8,24,8/24/1356,,,,,,PORTUGAL,,PORTUGAL:  LISBON; SPAIN:  SEVILLA,,e
551,1356,10,18,10/18/1356,21,30,    ,,,SWITZERLAND,,SWITZERLAND:  BASEL,,e
552,1358,,,1/1/1358,,,,,,YEMEN,,"YEMEN:  ZABID,SANA,ADAN",,e
9917,1359,3,3,3/3/1359,,,,,,ALGERIA,,ALGERIA:  ALGIERS,,e
6003,1360,11,22,11/22/1360,,,,,7,JAPAN,,JAPAN:  KUMANONADA,,e
553,1360,,,1/1/1360,,,,,,IRAN,,IRAN:  QESHM ISLAND,,e
555,1361,7,17,7/17/1361,,,    ,,,ITALY,,ITALY:  BASILICATA TO POUILLES,,e
556,1361,8,3,8/3/1361,,,,,8.4,JAPAN,,JAPAN:  NANKAIDO,,e
7912,1361,,,1/1/1361,,,,,5,CHINA,,CHINA:  JIANGXI PROVINCE:  YEN HI CHAN,,e
8150,1365,1,2,1/2/1365,,,,,,ALGERIA,,ALGERIA:  ALGIERS,,e
557,1367,,,1/1/1367,,,    ,,,IRAN,,IRAN:  KUCHESFAHAN,,e
7913,1368,7,8,7/8/1368,,,,,6,CHINA,,CHINA:  SHANXI PROVINCE: XUGOU,,e
558,1372,8,16,8/16/1372,,,,,4.8,CHINA,,CHINA:  JIANGSU PROVINCE:  NANJING,,e
559,1374,2,2,2/2/1374,,,    ,,,SPAIN,,SPAIN:  RIBAGORZA,,e
560,1375,,,1/1/1375,,,    ,,,SWITZERLAND,,SWITZERLAND,,e
561,1377,,,1/1/1377,,,,,,YEMEN,,YEMEN:  ADEN (ADAN),,e
562,1380,,,1/1/1380,,,    ,,,ALBANIA,,ALBANIA,,e
563,1382,3,17,3/17/1382,,,    ,,,IRAN,,IRAN:  REY (RAY),,e
564,1383,8,6,8/6/1383,,,    ,,,TURKEY,,TURKEY,,e
566,1384,8,,8/1/1384,,,,,,GREECE,,GREECE:  LESBOS,,e
567,1385,8,1,8/1/1385,,,,,6.3,NORTH KOREA,,NORTH KOREA:  KAESONG,,e
568,1386,,,1/1/1386,,,    ,,,BOSNIA-HERZEGOVINA,,BALKANS NW:  BOSNIA-HERZEGOVINA,,e
569,1387,3,5,3/5/1387,,,    ,,,CROATIA,,BALKANS NW:  CROATIA,,e
8180,1387,9,5,9/5/1387,,,,,,YEMEN,,YEMEN:  ADEN (ADAN),,e
570,1389,1,20,1/20/1389,,,    ,10,5.8,IRAN,,IRAN:  NEYSHABUR,,e
571,1389,1,30,1/30/1389,,,    ,,,IRAN,,IRAN:  NEYSHABUR (NISHAPUR),,e
572,1389,2,,2/1/1389,,,    ,,7.6,IRAN,,IRAN:  NEYSHABUR (NISHAPUR),,e
573,1389,3,20,3/20/1389,,,,,,GREECE,,GREECE:  AEGEAN SEA,,e
574,1390,5,,5/1/1390,,,,20,6.1,UZBEKISTAN,,UZBEKISTAN:  BUKHARA,,e
575,1390,12,5,12/5/1390,,,    ,,,CROATIA,,BALKANS NW:  CROATIA,,e
576,1391,3,23,3/23/1391,,,    ,,,SWITZERLAND,,SWITZERLAND,,e
577,1399,11,6,11/6/1399,20,,    ,,,CROATIA,,BALKANS NW:  CROATIA,,e
580,1400,,,1/1/1400,,,    ,,,IRAN,,IRAN:  LAR,,e
578,1400,,,1/1/1400,,,    ,,,IRAN,,IRAN:  RUDBAR,,e
581,1402,,,1/1/1402,,,    ,,,SYRIA,,SYRIA,,e
6015,1403,11,16,11/16/1403,,,,,,SYRIA,,SYRIAN COASTS,,e
5944,1403,12,,12/1/1403,,,,,7,JAPAN,,JAPAN:  KUMANONADA,,e
582,1404,,,1/1/1404,,,    ,,,SYRIA,,SYRIA:  HALAB (ALEPPO),,e
583,1405,1,29,1/29/1405,,,    ,15,6.7,IRAN,,IRAN:  NEYSHABUR (NISHAPUR),,e
7382,1406,10,16,10/16/1406,,,,,6.2,JAPAN,,JAPAN:  SHIMIZU,,e
584,1407,4,9,4/9/1407,,,    ,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),,e
5945,1408,1,21,1/21/1408,,,,,7,JAPAN,,JAPAN:  KUMANONADA,,e
585,1408,12,20,12/20/1408,,,,,,TURKEY,,TURKEY:  ANTIOCH; SYRIA: ALEPPO; LEBANON: TRIPOLIS,,e
587,1414,8,3,8/3/1414,,,    ,,,ITALY,,ITALY:  SANSEPOLCRO,,e
588,1417,,,1/1/1417,,,    ,,,ITALY,,ITALY,,e
589,1418,4,7,4/7/1418,,,    ,,,CROATIA,,BALKANS NW:  CROATIA:  VRANA,,e
5954,1419,3,15,3/15/1419,,,,,,TURKEY,,MARMARA SEA,,e
590,1426,,,1/1/1426,,,,,,YEMEN,,"YEMEN:  ZABID,BAHRAIN",,e
591,1427,5,15,5/15/1427,,,    ,,,SPAIN,,"SPAIN:  OLOT,BARCELONA",,e
593,1428,2,2,2/2/1428,,,,,,FRANCE,,FRANCE:  PRATS DE MOLLO; SPAIN: OLOT,,e
594,1431,4,24,4/24/1431,,,,,,SPAIN,,SPAIN:  GRANADA,,e
5946,1433,11,7,11/7/1433,,,,,7.1,JAPAN,,"TOKAIDO, JAPAN",,e
596,1440,10,26,10/26/1440,,,,,6.3,CHINA,,CHINA:  GANSU PROVINCE:  YONGDENG,,e
595,1440,,,1/1/1440,,,    ,,6.5,IRAN,,IRAN:  KARZIN,,e
598,1441,,,1/1/1441,,,    ,,,TURKEY,,"TURKEY:  VAN,NEMRUT",,e
597,1441,,,1/1/1441,,,    ,,,IRAN,,IRAN:  TABRIZ,,e
599,1443,6,5,6/5/1443,,,    ,,,SLOVAKIA,,SLOVAKIA:  BANSKA STIAVNICA,,e
601,1444,11,,11/1/1444,,,,,,BULGARIA,,BULGARIA:  VARNA,,e
600,1444,,,1/1/1444,,,    ,,,TURKEY,,TURKEY:  NEMRUT MTNS,,e
7914,1445,12,12,12/12/1445,,,,,6.3,CHINA,,CHINA:  FUJIAN PROVINCE:  ZHANGZHOU,,e
602,1447,11,4,11/4/1447,,,    ,,,ITALY,,ITALY:  ROMA (ROME),,e
5947,1448,9,19,9/19/1448,,,,,7,JAPAN,,JAPAN:  SADO,,e
603,1451,,,1/1/1451,,,    ,,,CROATIA,,BALKANS NW:  CROATIA,,e
604,1454,9,14,9/14/1454,23,,    ,,,SWITZERLAND,,SWITZERLAND,,e
605,1454,9,15,9/15/1454,1,,    ,,,SWITZERLAND,,SWITZERLAND,,e
606,1455,1,24,1/24/1455,,,    ,,6.3,SOUTH KOREA,,SOUTH KOREA:  KWANGJU,,e
608,1456,6,16,6/16/1456,,,    ,,,SERBIA,,BALKANS NW:  SERBIA,,e
