I_D,YEAR,MONTH,DAY,date,HOUR,MINUTE,SECOND,FOCAL_DEPTH,intensity,COUNTRY,STATE,LOCATION_NAME,,type
5697,2003,5,27,5/27/2003,17,11,28.8,8,5.7,ALGERIA,,"ALGERIA:  ALGIERS, BOUMERDES, REGHAIA",,e
5698,2003,6,6,6/6/2003,12,29,34,3,4,USA,KY,KENTUCKY:  BARDWELL,,e
5699,2003,6,9,6/9/2003,7,6,39.3,18,5.2,GREECE,,"GREECE:  GONNOI, LARISA",,e
5688,2003,6,20,6/20/2003,13,30,41.6,33,6.8,CHILE,,"CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN",,e
5704,2003,7,3,7/3/2003,14,59,32.2,41,5.2,IRAN,,"IRAN:  NORTHEASTERN: YAKHAK, BASHIRABAD, BUTEHGAZ",,e
5705,2003,7,10,7/10/2003,17,6,37.6,10,5.8,IRAN,,IRAN:  SOUTHERN: GAJJIABAD,,e
5706,2003,7,15,7/15/2003,20,27,50.5,10,7.6,INDIAN OCEAN,,INDIAN OCEAN:  FELT IN MALDIVES,,e
5707,2003,7,21,7/21/2003,15,16,31.9,10,5.9,CHINA,,CHINA:  YUNNAN PROVINCE,,e
5708,2003,7,25,7/25/2003,15,13,7.7,10,5.5,JAPAN,,"JAPAN:  HONSHU:  MIYAGI, IWATE",,e
5709,2003,7,26,7/26/2003,1,0,57.6,10,4.5,TURKEY,,TURKEY:  WESTERN:  BULDAN,,e
5710,2003,7,26,7/26/2003,8,36,49.1,10,5.4,TURKEY,,TURKEY:  WESTERN:  BULDAN,,e
5711,2003,7,26,7/26/2003,23,18,17.9,10,5.7,BANGLADESH,,BANGLADESH:  RANGAMATI,,e
5712,2003,8,4,8/4/2003,4,37,20.1,10,7.6,ANTARCTICA,,SCOTIA SEA:  SOUTH ORKNEY ISLANDS: LAURIE IS,,e
5713,2003,8,11,8/11/2003,0,19,9.2,10,6,INDONESIA,,INDONESIA:  HALMAHERA:  WASILE,,e
5714,2003,8,13,8/13/2003,8,29,27.2,54,5.4,PANAMA,,"PANAMA:  COLON, PANAMA CITY",,e
5715,2003,8,14,8/14/2003,5,14,54.7,10,6.3,GREECE,,"GREECE:  LEFKADA, PREVEZA",,e
5716,2003,8,16,8/16/2003,10,58,42.7,24,5.4,CHINA,,"CHINA:  NEI MONGOL:  LINDONG, TIANSHAN",,e
5717,2003,8,18,8/18/2003,9,3,3.5,33,5.5,CHINA,,"CHINA:  TIBET (XIZANG PROVINCE): BOMI,MEDOG,NYINGCHI",,e
5719,2003,8,21,8/21/2003,12,12,49.7,28,7.2,NEW ZEALAND,,"NEW ZEALAND:  DUNEDIN,INVERCARGILL,TE ANAU,FIORDLAND",,e
5720,2003,9,14,9/14/2003,21,42,51.8,10,5.3,ITALY,,"ITALY:  LOIANO, MONGHIDORO, MONZUNO",,e
